variant,pid,seed,prompt,subset,n_frames,flow_total,flow_global,flow_residual,residual_frac,flow_total_p95,residual_autocorr,zoom_abs,dynamic_degree_score,dynamic_degree,subject_consistency,background_consistency,temporal_flicker,warp_error,sharpness,colorfulness,clip_t,vqascore,vqa_yes,vqa_min_q,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
S-bi-causvid,P08,1.0,"In a still frame, a stop sign",general,81.0,0.1825890291016549,0.06044846213189885,0.15415456057526172,0.844266038697206,0.5286600857973098,0.942219345682573,0.00016613530264066866,3.356369453668594,0.0,0.9212278723716736,0.9329280257225037,0.9943140745162964,0.004841110040433705,333.5709040091556,95.2637939453125,0.22982853651046753,0.6462243795394897,0.5813632607460022,0.5813632607460022,76.42074584960938,0.615896999835968,0.5410476922988892,0.7032930850982666
S-bi-causvid,P17,0.0,"a red race car drifting around a tight corner on a wet track, tires smoking",fast,81.0,31.648992937803268,25.862397231161594,13.419375321269035,0.4240063790855673,63.06494331359863,0.2177186501167929,0.016015569024602883,68.70930738449097,1.0,0.8947926759719849,0.9383172988891602,0.9433014988899231,0.03700313854496926,760.2646318627999,45.96261978149414,0.25204548239707947,0.863161563873291,0.8439199924468994,0.7826510667800903,69.67095947265625,0.3027176260948181,0.39814576506614685,0.6046031713485718
S-bi-causvid,P22,2.0,a basketball player dribbling past two defenders and dunking the ball,multi,81.0,2.9994622129946946,2.0199952315539123,1.860884626582265,0.6204058841329608,5.8015762805938715,0.7292429596216091,0.002698786085966276,11.221744608879089,0.0,0.9507637023925781,0.9278517961502075,0.9630165100097656,0.015571460186038166,416.0234903038637,101.75696563720703,0.21395815908908844,0.6353102326393127,0.7296611467997233,0.6057277321815491,73.38758850097656,0.3794809579849243,0.425723135471344,0.623603343963623
S-bi-causvid,P01,5.0,a person drinking coffee in a cafe,general,81.0,5.879028943926096,3.430262945406139,5.466022087633609,0.9297489789588187,11.153643083572387,0.2824279024540665,0.0050347572265309285,16.17257869243622,1.0,0.9678041338920593,0.9887579083442688,0.9731031656265259,0.012720915346289986,95.17961009245145,77.10773468017578,0.23290319740772247,0.5313761234283447,0.5566123425960541,0.46911394596099854,68.38685607910156,0.4556862711906433,0.4826909899711609,0.5857661962509155
S-bi-causvid,P23,7.0,"an astronaut riding a horse on the moon, with the Earth visible in the sky",rare,81.0,0.14943536655046047,0.11365523868298624,0.10347146743442863,0.6924115583303427,0.2501567333936691,0.5879217150214128,0.0002209637137127629,0.49744578897953035,0.0,0.9906250834465027,0.9941973090171814,0.9927465915679932,0.005023078626254574,1043.7151979619946,39.12498092651367,0.299095094203949,0.5579359531402588,0.7006368835767111,0.6053140759468079,76.40863037109375,0.8962492942810059,0.5683545470237732,0.7574421167373657
S-bi-causvid,P01,4.0,a person drinking coffee in a cafe,general,81.0,0.6475563801825046,0.20821804902516305,0.5500020423904062,0.8493487360693752,1.490392142534256,0.3843538047012899,0.00033254224911161145,4.300974833965301,0.0,0.9719921350479126,0.9878992438316345,0.9876184463500977,0.0064077326271217315,113.50828840878235,78.67992401123047,0.2571730315685272,0.4484233856201172,0.580041915178299,0.49719172716140747,74.60481262207031,0.401043564081192,0.4131530821323395,0.6041197776794434
S-bi-causvid,P26,1.0,exactly four red apples rolling across a wooden table,count,81.0,0.9106721563264728,0.5512635394930839,0.4478897052817047,0.49182267223998194,1.6689413726329803,0.7197769603757136,0.0005581390949373599,4.855352765321731,0.0,0.9922241568565369,0.9970163702964783,0.9908401370048523,0.00492759142362047,356.9347152289175,110.214111328125,0.24385955929756165,0.5068337917327881,0.5971054832140604,0.5516297817230225,72.80631256103516,0.7144989967346191,0.5435258746147156,0.6555008292198181
S-bi-causvid,P10,7.0,an airplane taking off,general,81.0,17.82861841917038,16.33377286195755,13.800719833374023,0.7740767531632133,23.551426696777344,0.4826164787069914,0.013288010819815099,44.88111324310303,1.0,0.989192008972168,0.9686039090156555,0.9742569923400879,0.025225242285523565,853.0393452939388,40.634254455566406,0.22526228427886963,0.7718923687934875,0.7463080286979675,0.7379602193832397,76.53611755371094,0.5673230290412903,0.5796440243721008,0.7273675203323364
S-bi-causvid,P20,5.0,a chef tossing vegetables in a flaming wok while a second cook plates dishes beside him,multi,81.0,3.4016347281634807,0.8184975929558277,2.835703246295452,0.8336293103983913,6.812218785285949,0.4490613496430229,0.0005057267665506515,37.90721983909607,1.0,0.9691311717033386,0.9792648553848267,0.962550699710846,0.02352497953688726,280.3659860021281,80.90077209472656,0.2716587781906128,0.6208758354187012,0.6107067465782166,0.5728074908256531,73.73483276367188,0.4205268919467926,0.422561377286911,0.5877283215522766
S-bi-causvid,P01,7.0,a person drinking coffee in a cafe,general,81.0,0.4200723877642304,0.052823379600886254,0.39441541661508384,0.938920265133417,0.8872940003871916,0.3875466594276009,9.794237374762815e-05,5.37798901796341,0.0,0.9869166612625122,0.9927453994750977,0.9905057549476624,0.006056590919615701,93.26683101885448,81.85289001464844,0.23216605186462402,0.5249782800674438,0.5830245018005371,0.5125075578689575,69.69212341308594,0.42669570446014404,0.44334346055984497,0.557529091835022
